champ;espaces;types;sessions;parent;unite;type_valeur;portee;nom_officiel;chemin_corpus;libelle;definition;ne_dit_pas;montre_au_modele;libelle_page
part_acces_general;psup;;psup=2025;;%;nombre;formation;psup=part_acces_gen;psup=profil_admis.acces_pct.general;Accès des terminales (general);Libellé officiel : part des terminales de cette série qui étaient en position de recevoir une proposition en phase principale.;La répartition des admis.;1;
part_acces_techno;psup;;psup=2025;;%;nombre;formation;psup=part_acces_tec;psup=profil_admis.acces_pct.techno;Accès des terminales (techno);Libellé officiel : part des terminales de cette série qui étaient en position de recevoir une proposition en phase principale.;La répartition des admis.;1;
part_acces_pro;psup;;psup=2025;;%;nombre;formation;psup=part_acces_pro;psup=profil_admis.acces_pct.pro;Accès des terminales (pro);Libellé officiel : part des terminales de cette série qui étaient en position de recevoir une proposition en phase principale.;La répartition des admis.;1;
voeux_recherche_contrat;psup_app;;psup_app=2025;;candidats;nombre;formation;psup_app=nb_rech_con;psup_app=apprentissage.voeux_recherche_contrat;Candidats en recherche de contrat;Candidats en recherche de contrat (jeu Parcoursup apprentissage, session 2025).;;1;
refus_apres_examen;psup_app;;psup_app=2025;;candidats;nombre;formation;psup_app=nb_ref_classe;psup_app=apprentissage.refus_apres_examen;Refus après examen du dossier;Refus après examen du dossier (jeu Parcoursup apprentissage, session 2025).;;1;
refus_faute_de_place;psup_app;;psup_app=2025;;candidats;nombre;formation;psup_app=nb_ref_place;psup_app=apprentissage.refus_faute_de_place;Refus faute de place;Refus faute de place (jeu Parcoursup apprentissage, session 2025).;;1;
capacite_campagne_2025;mm;;mm=2025;;places;nombre;formation;mm=col;;Places (capacité);Capacité d'accueil du master. Doublon d'un chiffre de la page publique (concordance du 25/09) : gardé pour les contrôles et les filtres, jamais montré au modèle.;;mm=0;
candidats_pp_open_data;mm;;mm=2025;;candidats;nombre;formation;mm=n_can_pp;;Candidats en phase principale;Nombre de candidats en phase principale. Doublon d'un chiffre de la page publique (concordance du 25/09) : gardé pour les contrôles et les filtres, jamais montré au modèle.;L'intérêt réel : un candidat fait plusieurs vœux.;mm=0;
candidats_pc_open_data;mm;;mm=2025;;candidats;nombre;formation;mm=n_can_pc;;Candidats en phase complémentaire;Nombre de candidats en phase complémentaire. Doublon d'un chiffre de la page publique (concordance du 25/09) : gardé pour les contrôles et les filtres, jamais montré au modèle.;;mm=0;
propositions_total;mm;;mm=2025;;propositions;nombre;formation;mm=n_prop_total;;Propositions d'admission;Nombre total de propositions faites.;;1;
acceptes_total;mm;;mm=2025;;admis;nombre;formation;mm=n_accept_total;;Admis;Nombre de candidats ayant accepté une proposition.;;1;
rang_dernier_appele_pp_open_data;mm;;mm=2025;;rang;nombre;formation;mm=rang_dernier_appele_pp;;Rang du dernier appelé;Rang du dernier candidat appelé en phase principale. Doublon d'un chiffre de la page publique (concordance du 25/09) : gardé pour les contrôles et les filtres, jamais montré au modèle.;Un seuil de note.;mm=0;
part_acceptes_femmes;mm;;mm=2025;;%;nombre;formation;mm=pct_accept_femme;;Part de femmes parmi les admis;Part de femmes parmi les admis;;1;
part_acceptes_licence_generale;mm;;mm=2025;;%;nombre;formation;mm=pct_accept_lg3;;Part d'admis venant de licence générale;Part d'admis venant de licence générale;;1;
part_acceptes_but;mm;;mm=2025;;%;nombre;formation;mm=pct_accept_but3;;Part d'admis venant de BUT;Part d'admis venant de BUT;;1;
part_acceptes_licence_pro;mm;;mm=2025;;%;nombre;formation;mm=pct_accept_lp3;;Part d'admis venant de licence professionnelle;Part d'admis venant de licence professionnelle;;1;
part_acceptes_meme_etablissement;mm;;mm=2025;;%;nombre;formation;mm=pct_accept_etab;;Part d'admis venant du même établissement;Part d'admis venant du même établissement;;1;
alternance;psup,mm;;psup=-|mm=2025;;0/1;booleen;formation;psup=|mm=alternance;psup=alternance.valeur.existe_en_apprentissage;Existe en alternance;Pour une formation Parcoursup : la même formation existe aussi en apprentissage (liste dans le détail). Pour un master : MonMaster le marque en alternance.;Qu'un employeur est garanti.;1;
cout;psup,psup_app,mm;;-;;;groupe;formation;;cout;Coût;Ce que coûte la formation : droits, CVEC ou frais publiés, avec la source de chaque montant.;Le logement et le matériel.;1;
cout.droits_inscription_eur;psup,psup_app,mm;;-;cout;EUR;nombre;formation;;cout.valeur.droits_inscription_eur;Droits d'inscription annuels;Droits d'inscription annuels (détail du coût, présent seulement quand la source le publie).;;1;
cout.cvec_eur;psup,psup_app,mm;;-;cout;EUR;nombre;formation;;cout.valeur.cvec_eur;CVEC;CVEC (détail du coût, présent seulement quand la source le publie).;;1;
cout.scolarite_annuel_eur;psup,psup_app,mm;;-;cout;EUR;nombre;formation;;cout.valeur.scolarite_annuel_eur;Frais de scolarité par an;Frais de scolarité par an (détail du coût, présent seulement quand la source le publie).;;1;
cout.scolarite_total_eur;psup,psup_app,mm;;-;cout;EUR;nombre;formation;;cout.valeur.scolarite_total_eur;Frais de scolarité du cycle;Frais de scolarité du cycle (détail du coût, présent seulement quand la source le publie).;;1;
cout.fourchette_min_eur;psup,psup_app,mm;;-;cout;EUR;nombre;formation;;cout.valeur.fourchette_eur.0;Frais de scolarité, bas de fourchette;Frais de scolarité, bas de fourchette (détail du coût, présent seulement quand la source le publie).;;1;
cout.fourchette_max_eur;psup,psup_app,mm;;-;cout;EUR;nombre;formation;;cout.valeur.fourchette_eur.1;Frais de scolarité, haut de fourchette;Frais de scolarité, haut de fourchette (détail du coût, présent seulement quand la source le publie).;;1;
cout.gratuit_pour_l_apprenti;psup,psup_app,mm;;-;cout;0/1;booleen;formation;;cout.valeur.gratuit_pour_l_apprenti;Gratuit pour l'apprenti;Gratuit pour l'apprenti (détail du coût, présent seulement quand la source le publie).;;1;
cout.gratuit_en_apprentissage;psup,psup_app,mm;;-;cout;0/1;booleen;formation;;cout.valeur.gratuit_en_apprentissage;Gratuit en apprentissage (selon l'école);Gratuit en apprentissage (selon l'école) (détail du coût, présent seulement quand la source le publie).;;1;
cout.gratuit_boursiers;psup,psup_app,mm;;-;cout;0/1;booleen;formation;;cout.valeur.gratuit_boursiers;Gratuit pour les boursiers (selon l'école);Gratuit pour les boursiers (selon l'école) (détail du coût, présent seulement quand la source le publie).;;1;
cout.texte_source;psup,psup_app,mm;;-;cout;;texte;formation;;cout.valeur.texte_source;Texte publié par la source;Texte publié par la source (détail du coût, présent seulement quand la source le publie).;;1;
insertion;psup,psup_app,mm;;-;;;groupe;formation;;insertion;Insertion professionnelle;Taux d'emploi des diplômés (InserSup, InserJeunes), une ligne par diplôme source, dans la table insertion_ligne.;"La qualité de l'emploi ; le lien avec le diplôme.";1;
sante.passage_national;psup;pass,las;-;;;groupe;nationale;;sante.passage_national;Passage en MMOPK (national);Taux national de passage en 2e année de médecine, maïeutique, odontologie, pharmacie ou kiné (SIES, Note Flash n°31).;Le taux de cette université-là.;1;
passage_mmopk_1_ou_2_ans_national;psup;pass,las;-;sante.passage_national;%;nombre;nationale;;sante.passage_national.valeur.admis_mmopk_1_ou_2_ans_pct;Passage en MMOPK en 1 ou 2 ans;Passage en MMOPK en 1 ou 2 ans, taux national de la voie (PASS ou LAS), néo-bacheliers inscrits en 2022, résultats de la session 2024.;Le taux de cette université-là.;1;
passage_mmopk_1_an_national;psup;pass,las;-;sante.passage_national;%;nombre;nationale;;sante.passage_national.valeur.admis_mmopk_1_an_pct;Passage en MMOPK en 1 an;Passage en MMOPK en 1 an, taux national de la voie (PASS ou LAS), néo-bacheliers inscrits en 2022, résultats de la session 2024.;Le taux de cette université-là.;1;
passage_mmopk_2_ans_national;psup;pass,las;-;sante.passage_national;%;nombre;nationale;;sante.passage_national.valeur.admis_mmopk_2_ans_pct;Passage en MMOPK en 2 ans;Passage en MMOPK en 2 ans, taux national de la voie (PASS ou LAS), néo-bacheliers inscrits en 2022, résultats de la session 2024.;Le taux de cette université-là.;1;
passage_pass_las_ensemble_national;psup;pass,las;-;sante.passage_national;%;nombre;nationale;;sante.passage_national.valeur.ensemble_pass_las_pct;Passage en MMOPK, PASS et LAS ensemble;Passage en MMOPK, PASS et LAS ensemble, taux national de la voie (PASS ou LAS), néo-bacheliers inscrits en 2022, résultats de la session 2024.;Le taux de cette université-là.;1;
passage_mmopk_medecine_national;psup;pass,las;-;sante.passage_national;%;nombre;nationale;;sante.passage_national.valeur.par_filiere_1_ou_2_ans_pct.medecine;Passage en medecine en 1 ou 2 ans (national);Taux national par filière de la voie.;Le taux de cette université-là.;1;
passage_mmopk_pharmacie_national;psup;pass,las;-;sante.passage_national;%;nombre;nationale;;sante.passage_national.valeur.par_filiere_1_ou_2_ans_pct.pharmacie;Passage en pharmacie en 1 ou 2 ans (national);Taux national par filière de la voie.;Le taux de cette université-là.;1;
passage_mmopk_odontologie_national;psup;pass,las;-;sante.passage_national;%;nombre;nationale;;sante.passage_national.valeur.par_filiere_1_ou_2_ans_pct.odontologie;Passage en odontologie en 1 ou 2 ans (national);Taux national par filière de la voie.;Le taux de cette université-là.;1;
passage_mmopk_maieutique_national;psup;pass,las;-;sante.passage_national;%;nombre;nationale;;sante.passage_national.valeur.par_filiere_1_ou_2_ans_pct.maieutique;Passage en maieutique en 1 ou 2 ans (national);Taux national par filière de la voie.;Le taux de cette université-là.;1;
passage_mmopk_kinesitherapie_national;psup;pass,las;-;sante.passage_national;%;nombre;nationale;;sante.passage_national.valeur.par_filiere_1_ou_2_ans_pct.kinesitherapie;Passage en kinesitherapie en 1 ou 2 ans (national);Taux national par filière de la voie.;Le taux de cette université-là.;1;
effectif_cohorte_national;psup;pass,las;-;sante.passage_national;étudiants;nombre;nationale;;sante.passage_national.valeur.effectif_cohorte;Effectif national de la cohorte;Néo-bacheliers inscrits en 2022 dans la voie, en France.;;1;
sante.capacites_universite;psup;pass,las;-;;;groupe;universite;;sante.capacites_universite;Places en MMOPK publiées par l'université;Capacités d'accueil en 2e année MMOPK publiées par l'université (panel de 10 universités).;Le nombre de places pour un parcours LAS précis.;1;
capacites_mmopk_total;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.total;Places MMOPK, total université;Total des places publiées par l'université.;;1;
capacites_mmopk_medecine_total;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.medecine.total;Places en medecine, toutes voies;Places en medecine (toutes voies) publiées par l'université.;;1;
capacites_mmopk_medecine_pass;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.medecine.PASS;Places en medecine, voie PASS;Places en medecine (voie PASS) publiées par l'université.;;1;
capacites_mmopk_medecine_las;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.medecine.LAS;Places en medecine, voie LAS;Places en medecine (voie LAS) publiées par l'université.;;1;
capacites_mmopk_medecine_passerelles;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.medecine.passerelles;Places en medecine, passerelles;Places en medecine (passerelles) publiées par l'université.;;1;
capacites_mmopk_pharmacie_total;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.pharmacie.total;Places en pharmacie, toutes voies;Places en pharmacie (toutes voies) publiées par l'université.;;1;
capacites_mmopk_pharmacie_pass;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.pharmacie.PASS;Places en pharmacie, voie PASS;Places en pharmacie (voie PASS) publiées par l'université.;;1;
capacites_mmopk_pharmacie_las;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.pharmacie.LAS;Places en pharmacie, voie LAS;Places en pharmacie (voie LAS) publiées par l'université.;;1;
capacites_mmopk_pharmacie_passerelles;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.pharmacie.passerelles;Places en pharmacie, passerelles;Places en pharmacie (passerelles) publiées par l'université.;;1;
capacites_mmopk_odontologie_total;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.odontologie.total;Places en odontologie, toutes voies;Places en odontologie (toutes voies) publiées par l'université.;;1;
capacites_mmopk_odontologie_pass;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.odontologie.PASS;Places en odontologie, voie PASS;Places en odontologie (voie PASS) publiées par l'université.;;1;
capacites_mmopk_odontologie_las;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.odontologie.LAS;Places en odontologie, voie LAS;Places en odontologie (voie LAS) publiées par l'université.;;1;
capacites_mmopk_odontologie_passerelles;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.odontologie.passerelles;Places en odontologie, passerelles;Places en odontologie (passerelles) publiées par l'université.;;1;
capacites_mmopk_maieutique_total;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.maieutique.total;Places en maieutique, toutes voies;Places en maieutique (toutes voies) publiées par l'université.;;1;
capacites_mmopk_maieutique_pass;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.maieutique.PASS;Places en maieutique, voie PASS;Places en maieutique (voie PASS) publiées par l'université.;;1;
capacites_mmopk_maieutique_las;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.maieutique.LAS;Places en maieutique, voie LAS;Places en maieutique (voie LAS) publiées par l'université.;;1;
capacites_mmopk_maieutique_passerelles;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.maieutique.passerelles;Places en maieutique, passerelles;Places en maieutique (passerelles) publiées par l'université.;;1;
capacites_mmopk_kinesitherapie_total;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.kinesitherapie.total;Places en kinesitherapie, toutes voies;Places en kinesitherapie (toutes voies) publiées par l'université.;;1;
capacites_mmopk_kinesitherapie_pass;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.kinesitherapie.PASS;Places en kinesitherapie, voie PASS;Places en kinesitherapie (voie PASS) publiées par l'université.;;1;
capacites_mmopk_kinesitherapie_las;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.kinesitherapie.LAS;Places en kinesitherapie, voie LAS;Places en kinesitherapie (voie LAS) publiées par l'université.;;1;
capacites_mmopk_kinesitherapie_passerelles;psup;pass,las;-;sante.capacites_universite;places;nombre;universite;;sante.capacites_universite.valeur.par_filiere.kinesitherapie.passerelles;Places en kinesitherapie, passerelles;Places en kinesitherapie (passerelles) publiées par l'université.;;1;
sante.passage_universite;psup;pass,las;-;;;groupe;universite;;sante.passage_universite;Passage en MMOPK publié par l'université;Taux de passage publié par l'université elle-même : aucune du panel n'en publie.;;1;
sante.reforme_2027;psup;pass,las;-;;;groupe;nationale;;sante.reforme_2027;Réforme 2027 de l'accès santé;Lien vers la fiche concept (annonce du 17/04/2026, aucun texte au Journal officiel au 23/09/2026).;Qu'elle est acquise.;1;
places_open_data;psup;;psup=2025;;places;nombre;formation;psup=capa_fin;psup=nombre_places;Places (open data);Capacité publiée par l'open data Parcoursup 2025 (capa_fin), gardée pour lister les écarts avec la page. Jamais montrée au modèle.;;psup=0;
places_annee_en_cours;psup,psup_app;;psup=2026|psup_app=2026;;places;nombre;formation;psup=page:places_annee_en_cours|psup_app=page:places_annee_en_cours;;Places;Places annoncées pour la session en cours, en-tête de la fiche publique Parcoursup.;Le nombre de places de l'an dernier.;psup=0|psup_app=0;N places en 2026
voeux_confirmes_annee_en_cours;psup;;psup=2026;;vœux;nombre;formation;psup=page:voeux_confirmes_annee_en_cours;;Vœux confirmés;Vœux confirmés pour la session en cours, en-tête de la fiche publique Parcoursup.;Un nombre de candidats de l'an dernier.;psup=0;N vœux confirmés en 2026
candidats_ont_postule;psup;;psup=2025;;candidats;nombre;formation;psup=page:candidats_ont_postule;;Candidats ayant postulé;Chiffre affiché sur la fiche publique Parcoursup (arrêté à la fin de la phase principale, mi-juillet, d'après la page).;Les candidats de la phase complémentaire.;psup=1;N candidats ont postulé à cette formation
candidats_classes;psup;;psup=2025;;candidats;nombre;formation;psup=page:candidats_classes;;Candidats classés par la formation;Chiffre affiché sur la fiche publique Parcoursup (arrêté à la fin de la phase principale, mi-juillet, d'après la page).;Le nombre de propositions faites.;psup=1;La formation a classé N candidats
candidats_ont_pu_recevoir_une_proposition;psup;;psup=2025;;candidats;nombre;formation;psup=page:candidats_ont_pu_recevoir_une_proposition;;Candidats ayant pu recevoir une proposition d'admission;Chiffre affiché sur la fiche publique Parcoursup (arrêté à la fin de la phase principale, mi-juillet, d'après la page). Ce n'est pas le nombre de propositions envoyées au bilan final.;"Le nombre de propositions envoyées ; le nombre d'admis.";psup=1;N candidats ont pu recevoir une proposition d'admission
candidats_ont_choisi_d_integrer;psup;;psup=2025;;candidats;nombre;formation;psup=page:candidats_ont_choisi_d_integrer;;Candidats ayant choisi d'intégrer la formation;Chiffre affiché sur la fiche publique Parcoursup (arrêté à la fin de la phase principale, mi-juillet, d'après la page). Ce n'est pas le nombre d'admis au bilan final.;Le nombre d'admis au bilan final (fin de procédure).;psup=1;N candidats ont choisi d'intégrer cette formation
repartition_admis_bac_general;psup;;psup=2025;;%;nombre;formation;psup=page:repartition_admis_bac_general;;Répartition des admis, bac général;Chiffre affiché sur la fiche publique Parcoursup (arrêté à la fin de la phase principale, mi-juillet, d'après la page). Part parmi TOUS les candidats admis (répartition par type de bac des admis).;La part parmi les néo-bacheliers seulement.;psup=1;Bac général N %
repartition_admis_bac_techno;psup;;psup=2025;;%;nombre;formation;psup=page:repartition_admis_bac_techno;;Répartition des admis, bac technologique;Chiffre affiché sur la fiche publique Parcoursup (arrêté à la fin de la phase principale, mi-juillet, d'après la page). Part parmi TOUS les candidats admis (répartition par type de bac des admis).;La part parmi les néo-bacheliers seulement.;psup=1;Bac technologique N %
repartition_admis_bac_pro;psup;;psup=2025;;%;nombre;formation;psup=page:repartition_admis_bac_pro;;Répartition des admis, bac professionnel;Chiffre affiché sur la fiche publique Parcoursup (arrêté à la fin de la phase principale, mi-juillet, d'après la page). Part parmi TOUS les candidats admis (répartition par type de bac des admis).;La part parmi les néo-bacheliers seulement.;psup=1;Bac professionnel N %
repartition_admis_autres;psup;;psup=2025;;%;nombre;formation;psup=page:repartition_admis_autres;;Répartition des admis, autres diplômes;Chiffre affiché sur la fiche publique Parcoursup (arrêté à la fin de la phase principale, mi-juillet, d'après la page). Part parmi TOUS les candidats admis (répartition par type de bac des admis).;La part parmi les néo-bacheliers seulement.;psup=1;Autres diplômes N %
capacite_accueil;mm;;mm=2025,2026;;places;nombre;formation;mm=page:capacite_accueil;;Capacité d'accueil;"Chiffre affiché sur la fiche publique MonMaster (API publique de la fiche). Pour un master sans fiche de la campagne en cours, valeur de l'open data MonMaster 2025 calculée avec la même règle, présentée comme telle. Campagne en cours ; sans fiche en cours, capacité 2025 de l'open data.";Un nombre d'admis.;mm=1;CAPACITÉ D’ACCUEIL N étudiant(s)
candidatures_campagne_precedente;mm;;mm=2025;;candidatures;nombre;formation;mm=page:candidatures_campagne_precedente;;Nombre de candidatures lors de la campagne précédente;Chiffre affiché sur la fiche publique MonMaster (API publique de la fiche). Pour un master sans fiche de la campagne en cours, valeur de l'open data MonMaster 2025 calculée avec la même règle, présentée comme telle. Règle mesurée : candidats de phase principale + phase complémentaire.;Un nombre de candidats distincts.;mm=1;Nombre de candidatures lors de la campagne précédente N
rang_dernier_appele;mm;;mm=2025;;rang;nombre;formation;mm=page:rang_dernier_appele;;Rang du dernier appelé lors de la campagne précédente;Chiffre affiché sur la fiche publique MonMaster (API publique de la fiche). Pour un master sans fiche de la campagne en cours, valeur de l'open data MonMaster 2025 calculée avec la même règle, présentée comme telle. Règle mesurée : rang de la phase complémentaire s'il existe, sinon de la phase principale.;Un seuil de note.;mm=1;Rang du dernier appelé lors de la campagne précédente N
taux_candidatures_classees;mm;;mm=2025;;%;nombre;formation;mm=page:taux_candidatures_classees;;Taux de candidats classés;Chiffre affiché sur la fiche publique MonMaster (API publique de la fiche). Pour un master sans fiche de la campagne en cours, valeur de l'open data MonMaster 2025 calculée avec la même règle, présentée comme telle. Masters en alternance.;;mm=1;Taux de candidats classés N %
taux_propositions_parmi_classes;mm;;mm=2025;;%;nombre;formation;mm=page:taux_propositions_parmi_classes;;Taux de propositions d'admission parmi les classés;Chiffre affiché sur la fiche publique MonMaster (API publique de la fiche). Pour un master sans fiche de la campagne en cours, valeur de l'open data MonMaster 2025 calculée avec la même règle, présentée comme telle. Masters en alternance.;;mm=1;Taux de propositions d’admission parmi les classés N %
