[judge opus] 134 evaluations
  claude_norag E04.0 -> 3/4/4/4 aucune
  claude_norag E06.0 -> 2/4/4/3 generation
  claude_norag E08.0 -> 4/4/4/5 aucune
  claude_norag E05.0 -> 3/4/2/3 generation
  claude_norag E10.0 -> 3/4/4/4 aucune
  claude_norag E09.0 -> 2/3/3/2 data_absente
  claude_norag E11.0 -> 4/5/4/4 aucune
  claude_norag E12.0 -> 3/4/4/4 generation
  claude_norag E11.1 -> 3/4/4/4 aucune
  claude_norag E13.0 -> 4/5/5/4 aucune
  claude_norag E14.0 -> 2/4/4/3 generation
  claude_norag E15.0 -> None/None/None/None 
  claude_norag E18.0 -> 4/4/5/5 aucune
  claude_norag E16.0 -> 4/4/5/4 aucune
  claude_norag E19.0 -> 3/4/5/4 aucune
  claude_norag E17.0 -> 4/5/3/5 aucune
  claude_norag E20.0 -> 4/5/5/4 aucune
  claude_norag E22.0 -> 3/4/3/4 aucune
  claude_norag E21.0 -> 3/4/4/4 aucune
  claude_norag E27.0 -> 4/4/5/5 aucune
  claude_norag E26.0 -> 3/3/4/3 generation
  claude_norag E24.0 -> 2/3/4/2 generation
  claude_norag E28.0 -> 4/5/5/4 aucune
  claude_norag E25.0 -> 3/4/5/4 generation
  claude_norag E23.0 -> 4/4/4/4 aucune
  claude_norag E23.1 -> 3/4/4/4 aucune
  claude_norag E23.2 -> 3/4/4/4 retrieval
  claude_norag E29.0 -> 3/4/4/4 aucune
  gpt_norag L02.0 -> 4/4/5/5 aucune
  gpt_norag L03.0 -> 3/4/4/4 retrieval
  gpt_norag L04.0 -> 4/5/5/5 aucune
  claude_norag E30.0 -> None/None/None/None 
  gpt_norag L05.0 -> 4/4/5/5 aucune
  gpt_norag L08.0 -> 4/4/5/5 aucune
  gpt_norag L01.0 -> 4/5/5/5 aucune
  gpt_norag L07.0 -> 4/4/5/5 aucune
  gpt_norag L06.0 -> 4/4/5/5 aucune
  gpt_norag L09.0 -> 4/4/5/4 aucune
  gpt_norag L11.0 -> 4/4/5/5 aucune
  gpt_norag L15.0 -> 4/4/4/4 aucune
  gpt_norag L10.0 -> 4/5/5/5 aucune
  gpt_norag L12.0 -> 4/4/5/4 aucune
  gpt_norag L13.1 -> 4/4/4/5 aucune
  gpt_norag L16.0 -> 4/4/4/4 aucune
  gpt_norag L13.0 -> 4/4/4/4 aucune
  gpt_norag L14.0 -> 4/4/4/4 aucune
  gpt_norag L14.1 -> 4/5/4/4 aucune
  gpt_norag L19.0 -> 3/3/5/4 aucune
  gpt_norag L17.0 -> 4/4/5/4 aucune
  gpt_norag L18.0 -> 4/4/5/5 aucune
  gpt_norag L22.0 -> 3/4/4/4 generation
  gpt_norag L21.0 -> 4/4/4/5 aucune
  gpt_norag L24.0 -> 3/3/4/4 aucune
  gpt_norag L20.0 -> 4/4/5/5 aucune
  gpt_norag L27.0 -> 4/4/5/5 aucune
  gpt_norag L23.0 -> 4/5/5/4 aucune
  gpt_norag L28.0 -> 4/4/5/5 aucune
  gpt_norag L29.0 -> 4/4/5/5 aucune
  gpt_norag L26.0 -> 4/4/5/5 aucune
  gpt_norag L25.0 -> 4/4/4/4 aucune
  gpt_norag L30.0 -> 5/4/5/5 aucune
  gpt_norag L25.1 -> 5/5/4/5 aucune
  gpt_norag L25.2 -> 4/4/4/4 aucune
  gpt_norag E01.0 -> 4/5/5/5 aucune
  gpt_norag E04.0 -> 4/4/4/5 aucune
  gpt_norag E02.0 -> 4/4/4/4 aucune
  gpt_norag E03.0 -> 4/4/5/5 aucune
  gpt_norag E05.0 -> 4/4/4/4 aucune
  gpt_norag E07.0 -> 4/4/4/4 aucune
  gpt_norag E08.0 -> 3/4/5/4 aucune
  gpt_norag E10.0 -> 4/4/5/4 aucune
  gpt_norag E06.0 -> 4/4/5/4 aucune
  gpt_norag E09.0 -> 4/4/5/4 aucune
  gpt_norag E12.0 -> 4/4/5/4 aucune
  gpt_norag E11.0 -> 4/4/4/4 aucune
  gpt_norag E13.0 -> 5/4/5/5 aucune
  gpt_norag E11.1 -> 3/5/4/4 retrieval
  gpt_norag E14.0 -> 4/4/5/5 aucune
  gpt_norag E16.0 -> 4/4/4/5 aucune
  gpt_norag E15.0 -> 4/4/5/5 aucune
  gpt_norag E18.0 -> 4/4/5/5 aucune
  gpt_norag E17.0 -> 4/4/5/5 aucune
  gpt_norag E19.0 -> 4/4/5/5 aucune
  gpt_norag E22.0 -> 3/4/5/4 aucune
  gpt_norag E20.0 -> 4/5/5/5 aucune
  gpt_norag E24.0 -> 3/4/4/4 generation
  gpt_norag E25.0 -> 4/4/4/4 aucune
  gpt_norag E21.0 -> 4/4/5/5 aucune
  gpt_norag E27.0 -> 4/4/5/5 aucune
  gpt_norag E28.0 -> 4/5/5/5 aucune
  gpt_norag E26.0 -> 3/4/4/4 aucune
  gpt_norag E23.0 -> 4/4/5/4 aucune
  gpt_norag E23.1 -> 4/4/5/5 aucune
  gpt_norag E29.0 -> 4/4/5/4 aucune
  gpt_norag E30.0 -> 4/3/5/4 aucune
  gpt_norag E23.2 -> 3/4/4/3 retrieval
cout juge ~3.56 USD, 466s
